minwon_title,minwon_content,minwon_type,minwon_department
 행당동 고릴라 휘트니스 헬스장 환불 지연,  및 회원권 관련하여 고릴라 휘트니스에서 남은 기간에 대한 환불을 해주겠다는 약속을 받았습니다하지만 이에 관련하여 제대로 환불을 해 주지 않고 환불금액에 대한 지연이 이루어지고 있는 상황입니다해당 금액이 조속히 환불 될 수 있도록 해당 업체에 구청측에서 연락을 한번만 주세요감사합니다,기획재정국 지역경제과,기획재정국
 금호체육공원 교목 식재 요청,   동일고충민원여부동일고충민원여부       동일고충민원여부 선행민원번호    새창선행민원상세조회,도시관리국 공원녹지과,도시관리국
 성수역 번출구 앞에 위치한 더리브세종타워 사무실 내 진동, 안녕하세요금일 사무실에서 업무 중에 아침부터 계속해서 지진이 난 것처럼 내부가 흔들립니다인근에 공사하는 곳이 많아서 그런걸까요좀 위험하다는 생각이 들어서 이렇게 민원 신고합니다안전검사 부탁드립니다,도시관리국 건축과,도시관리국
 화장실 만들어 주세요, 안녕하세요성동교밑 잔디 애견쉼터랑 운동장을 사용하는 성동주민입니다게이트 볼 장 옆 이동식화장실은 장마 전 부터 가을까지는 찾아 볼 수가 없네요부모님과 애견 쉼터에 산책 나갈때면 화장실 문제로 불편해 하십니다어르신들은 팔각정까지 긴 계단을 오르내리시니 많이 짜증을 내시는데 애견 쉼터쪽은 화장실 간격이 너무 어중간 하네요거기 애견 쉼터에 오시는 분들도 불편해하십니다 팔각정 화장실이밑에 내려와 있으면 딱 좋은데 ㅎ ㅎ그 다음 산책코스 살곶이 쪽 화장실은 너무 멀구요풋 살장쪽 화장실은 좋더라구요과하지않게 작으나마 애견쉼터쪽에 화장실이 있으면 좋겠습니다수고 하세요,복지국 청소행정과,복지국
 청계꿈나무어린이공원 시설물 교체 요청, 안녕하십니까텐즈힐단지 입주자대표회의 기 회장입니다저희 단지 한가운데에 보호수로 있는 수령 년 은행나무와 주변 청계꿈나무어린이공원은성동구청 관리 지역입니다청계꿈나무어린이공원의 놀이시설들은 년 설치되어 올해로 년 개월 내년이면 년이 되어노후되고 망가진 부분들이 많습니다단지내 아이들과 주변 어린이집 아이들이 가장 많이 이용하는 놀이시설임에도노후화로 인해 고장이 자주 나고 그네의 끈도 자주 끊어져서  위험한 경우가 자주 발생하고 있습니다물론 수리 접수시에 빠른 응대를 해 주시기는 하지만  이제 단순 수리만으로는 안전한 운영이 불가할 것으로 파악되고 있습니다내년 예산 작업시 본 시설물에 대한 교체 예산 책정 꼭 부탁드리며 아이들이 안전하고 즐겁게 시설물을 이용할수 있도록 부탁드립니다,도시관리국 공원녹지과,도시관리국
 청소행정과의 답변을 기다립니다, 안녕하십니까청소행정과의  답변을 부탁드립니다대한민국의 정화조의 설치승인 허가법에는벽면 가까이 정화조를 설치해도  아무런 규제를 받지 아니하는지요그렇다 아니다로 답변 해 주시기를 바랍니다감사합니다수고하십시오 첨부파일   ,복지국 청소행정과,복지국
 금남시장 노점상 인도 점유  구청에서 일은 제대로 하는건가요, 고민하다가 민원 남깁니다독서당로 금남시장앞 인도 노점상 불법점유 어떻게 좀 안되시나요미관은 둘째치고 지나가다가 얼굴에 파라솔 걸렸는데 짜증이이런 민원이 있는지 확인해봤는데 예전에 작성된 담당자안전관리과 답변에 더 화가 나네요 대부분이 고령이시고 전혀 고령이 아닌분들이 많습니다 그냥 방치하자는 명목인지 자율정비선 지키는 곳이 한곳이라도 있는지과태료를 부과를 하시고 있는지 궁금합니다 공무원들 탁상행정이란 말이 딱 맞는 듯 하네요제생각에 적어도 주기적으로 자율정비선이란 것만 단속만 해도 이런일은 없을텐데요유모차나 휠체어는 둘째 치고 시장이나 앞에 건물에서 화재라도 나면 인도까지 꽉 점유되어 있어서 진짜 큰일입니다,안전건설교통국 안전관리과,안전건설교통국
 인도 및  빗물받이 설치, 성동구 금호 가동 번지호에서 번지 호간 약 차선 도로에 인도 및 빗물받이가 없어 우기시  빗물로 인하여 신발이 젖고 교통사고 위험이 있고 안전사고 위험이 있으니 인도 및 빗물받이를 설치하여 주시기 바랍니다,안전건설교통국 치수과,안전건설교통국
 대현산배수지공원 엘레베이터 설치 요청왕십리동, 안녕하세요왕십리 동에 거주 중인 주민입니다대현산배수지 공원 인근에 거주하고 있어 공원을 아주 잘 이용하고 있습니다 다만 공원까지 올라가는 오르막길 및 계단이 험난한 아쉬움이 있습니다저는 살 살 자녀가 있는데 자녀 모두를 데리고 공원에 가지는 못합니다 주변에 쌍둥이 자녀가 있는 가족 유모차를 이용하는 가족들이 가는 길이 불편하여 공원에 가는 것을 포기한다는 말을 들었습니다인근 어린이집도 공원에 가는 날은 주변에 공원으로 가는 계단 및 오르막길이 있는데도한참을 돌아서 공원에 간다고 합니다 제가 거주하는 아파트에는 노인분들도 많이 거주하시는데 적지 않은 노인분들이 공원을 창문으로만 즐기실 것 같아 안타까운 마음이 듭니다장애인분들도 보호자가 있더라도 공원에 가는 것이 매우 어려울 것입니다이와 같은 문제로 중구에서는 중구 동화동에서 대현산배수지공원을 오가는 무료 모노레일 설치 공사를 이달 착공한다고 합니다성동구에서도 더 많은 구민들이 공원을 이용할 수 있도록 더 편리하게 공원을 이용할 수 있도록 극동미라주아파트 뒷편 등 가능한 곳에 엘레베이터를 설치해 주시면 좋을 것 같습니다,  연계처리내역    민원상세보기원본 추천기관  서울특별시 이송추천사유  대현산배수지공원으로 가는 길이 험난하여 한번에 갈 수 있는 엘리베이터를 설치해달라는 요청사항으로 동부공원녹지사업소로 이첩 담당자이종렬 연락처 처리상태  이송이첩 아래 답변이 안보일 경우 위의  민원상세보기원본을 클릭하여 확인해 주시기 바랍니다  연계된 기관에서 처리한 내용으로 궁금하신 사항은 해당 기관으로 문의해야 합니다     ,이송이첩/다부처병렬
 뚝섬로길의 차량 통행 주의가 필요합니다, 현재 뚝섬로길은 자전거우선도로로 지정되어 있는 걸로 알고있습니다구립서울숲실버문화센터  뚝섬역 구간이 길에 쿠팡 물류창고가 있어 이른 새벽이나 아침에 쿠팡트럭이 운행되고 있는데너무 과속으로 운전을 하고 있어 위협을 느낀 적이 너무 많습니다학교도 있고경일고등학교 거주자 우선주차구간도 있어며 도로도  비좁기 때문에 현재  건물신축공사도 하고 있음이 구간을 통행하는 차량들의 제한속도가 엄격히 지켜져야 된다고 생각합니다는 많이 있지만 과속단속용 도 설치하여 차량속도의 제한이 필요하겠습니다그런데 쿠팡물류센터는 이전할 계획이 없을까요,  연계처리내역    민원상세보기원본 추천기관  경찰청 이송추천사유  차량과속단속 관련으로 경찰서로 이송요청합니다  담당자김수정 연락처 처리상태  이송이첩 아래 답변이 안보일 경우 위의  민원상세보기원본을 클릭하여 확인해 주시기 바랍니다  연계된 기관에서 처리한 내용으로 궁금하신 사항은 해당 기관으로 문의해야 합니다     ,이송이첩/다부처병렬
 뚝방 터널 자전거 끌고가라는 표지판 무색 여전히 타고다님, 성수동 태진운수 밑에 강변 자전거도로 진입하는 뚝방터널에서 여전히 자전거를 타고 다닙니다저만 병신같이 내려서 끌고 다닙니다 제가 병신이라서 질서를 지키고 여전히 자전거 타고 진입하는 그들은 저처럼 병신 머저리가 아니여서 그런지 입구에 개의 스텐턱을 설치해 놯으나 무용지물이며 보행자는 보행하는데 그다지 영향없이 자전거 타고 진입시 매우 불편하여 내려서 끌고 다닐 수 밖에 없게금 조치해 주십시요 입구에 끌고가라는 표지판이 무색합니다 재수없어서 인명사고라도 나면 그때나 정신차리고 내녀서 끌고 다닐련지 내려서 끌고 가라고 외치면 되려 당당하게 성질내면서 여기는 타고 다녀도 된다며 큰소리를 칩니다순간 저는 병신이 되고 있는 중입니다다들 타고 다니니 저도 타고 다닐까 하고 맘먹게도 됩니다가령 방지턱을 해서 좁게 여러개를 해서 도저히 타고 못다니게 해주시면 좋겠습니다자전거 우선이지 보행자 우선이 아닙니다 첨부파일     ,  연계처리내역    민원상세보기원본 추천기관  서울특별시 이송추천사유  한강공원 나들목 관련으로 한강사업본부로 이송요청합니다  담당자김수정 연락처 처리상태  이송이첩 아래 답변이 안보일 경우 위의  민원상세보기원본을 클릭하여 확인해 주시기 바랍니다  연계된 기관에서 처리한 내용으로 궁금하신 사항은 해당 기관으로 문의해야 합니다     ,이송이첩/다부처병렬
